Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Group Membership,E-mail 1 - Type,E-mail 1 - Value
Tibby Molko,Tibby,,Molko,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
John Doe,John,,Doe,,,,,,,,,,,,,,,,,,,,,,,Network Security ::: * My Contacts,* Home,annalestest@wp.pl
